Id,Creation Time,Owner,Runtime,Counters,Iterations,N,S,T,parameters/batch_size,parameters/epochs,parameters/last_activation,parameters/optimizer,parameters/pretrain,parameters/loss
RAM-72,2023-06-01 19:35:36,alehav,190.25530989999243,2,928,8,3,4,32,1,tanh,adam,true,
RAM-73,2023-06-01 19:39:03,alehav,584.8029072000063,0,2786,8,3,4,32,1,tanh,adam,true,
RAM-74,2023-06-01 19:49:03,alehav,53.887513800000306,1,240,8,3,4,32,1,tanh,adam,true,
RAM-75,2023-06-01 19:50:13,alehav,175.18335130000196,3,799,8,3,4,32,1,tanh,adam,true,
RAM-76,2023-06-01 19:53:25,alehav,109.42472249999992,0,526,8,3,4,32,1,tanh,adam,true,
RAM-77,2023-06-01 19:55:30,alehav,163.37479429999075,0,752,8,3,4,32,1,tanh,adam,true,
RAM-78,2023-06-01 19:58:29,alehav,278.9445837999956,0,1338,8,3,4,32,1,tanh,adam,true,
RAM-80,2023-06-01 20:08:32,alehav,669.9626521000027,2,3135,8,3,4,32,1,tanh,adam,true,
RAM-81,2023-06-01 20:19:59,alehav,111.10894950000511,0,493,8,3,4,32,1,tanh,adam,true,
RAM-82,2023-06-01 20:22:06,alehav,114.27582780001103,2,521,8,3,4,32,1,tanh,adam,true,
RAM-52,2023-06-01 17:36:51,alehav,280.46455550000246,1,1279,8,3,4,32,1,sigmoid,adam,true,
RAM-53,2023-06-01 17:45:43,alehav,96.40476269999635,1,516,8,3,4,32,1,sigmoid,adam,true,
RAM-54,2023-06-01 17:47:34,alehav,447.7417312000034,3,2076,8,3,4,32,1,sigmoid,adam,true,
RAM-55,2023-06-01 17:55:17,alehav,460.056362599993,0,2208,8,3,4,32,1,sigmoid,adam,true,
RAM-56,2023-06-01 18:03:14,alehav,48.69230900000548,1,250,8,3,4,32,1,sigmoid,adam,true,
RAM-57,2023-06-01 18:04:25,alehav,837.0318066000036,3,3963,8,3,4,32,1,sigmoid,adam,true,
RAM-58,2023-06-01 18:18:38,alehav,914.3620506000007,3,4222,8,3,4,32,1,sigmoid,adam,true,
RAM-59,2023-06-01 18:34:10,alehav,759.9361654000095,3,3606,8,3,4,32,1,sigmoid,adam,true,
RAM-60,2023-06-01 18:47:07,alehav,21.135779300006106,0,100,8,3,4,32,1,sigmoid,adam,true,
RAM-61,2023-06-01 18:47:44,alehav,192.88645729998825,0,893,8,3,4,32,1,sigmoid,adam,true,
RAM-62,2023-06-01 18:53:46,alehav,292.88568459999806,0,1410,8,3,4,32,1,linear,adam,true,
RAM-63,2023-06-01 18:58:56,alehav,105.27361209999071,0,493,8,3,4,32,1,linear,adam,true,
RAM-64,2023-06-01 19:00:56,alehav,123.36767570000666,0,594,8,3,4,32,1,linear,adam,true,
RAM-65,2023-06-01 19:03:15,alehav,156.14155790000223,0,747,8,3,4,32,1,linear,adam,true,
RAM-66,2023-06-01 19:06:06,alehav,37.983995800008415,0,196,8,3,4,32,1,linear,adam,true,
RAM-67,2023-06-01 19:07:00,alehav,87.85944629998994,0,406,8,3,4,32,1,linear,adam,true,
RAM-68,2023-06-01 19:08:45,alehav,74.43762899999274,0,341,8,3,4,32,1,linear,adam,true,
RAM-69,2023-06-01 19:10:14,alehav,583.8132086999976,0,2796,8,3,4,32,1,linear,adam,true,
RAM-70,2023-06-01 19:20:14,alehav,196.2456652999972,0,907,8,3,4,32,1,linear,adam,true,
RAM-71,2023-06-01 19:23:46,alehav,650.1005558999896,3,3046,8,3,4,32,1,linear,adam,true,
